Term,Stamm,Sprache,Zeitraum
జడకట్టు,జడ,Telugu,600 CE - present
జడకట్టు,కట్టు,Telugu,600 CE - present
జడ్జి,judge,English,1550 CE - present
బుసకొట్టు,బుస,Telugu,600 CE - present
బుసకొట్టు,కొట్టు,Telugu,600 CE - present
శరణార్థి,शरणार्थी,Sanskrit,1500 BCE - present (liturgical/classical)
ఈడ,ఈ,Telugu,600 CE - present
ఈడ,కడ,Telugu,600 CE - present
పైవిలాసము,పై,Telugu,600 CE - present
పైవిలాసము,విలాసము,Telugu,600 CE - present
చిక్కుదీయు,చిక్కు,Telugu,600 CE - present
చిక్కుదీయు,తీయు,Telugu,600 CE - present
చికిత్సచేయు,చికిత్స,Telugu,600 CE - present
చికిత్సచేయు,చేయు,Telugu,600 CE - present
పొదుగుచేయు,పొదుగు,Telugu,600 CE - present
పొదుగుచేయు,చేయు,Telugu,600 CE - present
సర్వాధికారి,సర్వము,Telugu,600 CE - present
సర్వాధికారి,అధికారి,Telugu,600 CE - present
సమస్తము,समस्त,Sanskrit,1500 BCE - present (liturgical/classical)
చివర,قِمَّة,Arabic,600 CE - present
వ్యాధికారకం,వ్యాధి,Telugu,600 CE - present
వ్యాధికారకం,కారకం,Telugu,600 CE - present
మట్టినూనె,మట్టి,Telugu,600 CE - present
మట్టినూనె,నూనె,Telugu,600 CE - present
కూకవేయు,కూక,Telugu,600 CE - present
కూకవేయు,వేయు,Telugu,600 CE - present
కూకపెట్టు,కూక,Telugu,600 CE - present
కూకపెట్టు,పెట్టు,Telugu,600 CE - present
అంకురము,अङ्कुर,Sanskrit,1500 BCE - present (liturgical/classical)
అందాక,అంత,Telugu,600 CE - present
అందాక,దాక,Telugu,600 CE - present
మితిమీరు,మితి,Telugu,600 CE - present
మితిమీరు,మీరు,Telugu,600 CE - present
హద్దుమీరు,హద్దు,Telugu,600 CE - present
హద్దుమీరు,మీరు,Telugu,600 CE - present
వెలకట్టు,వెల,Telugu,600 CE - present
వెలకట్టు,కట్టు,Telugu,600 CE - present
వాసనచూచు,వాసన,Telugu,600 CE - present
వాసనచూచు,చూచు,Telugu,600 CE - present
సరిచూచు,సరి,Telugu,600 CE - present
సరిచూచు,చూచు,Telugu,600 CE - present
-జ,ज,Sanskrit,1500 BCE - present (liturgical/classical)
మేనకాత్మజ,మేనక,Telugu,600 CE - present
మేనకాత్మజ,ఆత్మ,Telugu,600 CE - present
మేదిని,मेदिनी,Sanskrit,1500 BCE - present (liturgical/classical)
