Term,Stamm,Sprache,Zeitraum
दा,*deh₃-,Proto-Indo-European,4500 BCE - 2500 BCE
शृणोति,*śr̥náwti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
शृणोति,*ćr̥náwti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
शृणोति,*ḱl̥néwti,Proto-Indo-European,4500 BCE - 2500 BCE
भार,*bʰārás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
भार,*bʰārás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
भार,*bʰorós,Proto-Indo-European,4500 BCE - 2500 BCE
दशति,*dáśati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
दशति,*dáćati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
दशति,*denḱ-,Proto-Indo-European,4500 BCE - 2500 BCE
खान,𑀔𑀸𑀡,Prakrit,500 BCE - 1000 CE
खान,खादन,Sanskrit,1500 BCE - present (liturgical/classical)
तेजते,*(s)teyg-,Proto-Indo-European,4500 BCE - 2500 BCE
माति,*mā́tiṣ,Proto-Indo-Aryan,2000 BCE - 1500 BCE
माति,*mā́tiš,Proto-Indo-Iranian,2200 BCE - 1800 BCE
पलाव,*pel-,Proto-Indo-European,4500 BCE - 2500 BCE
पिष्ट,*pištás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
लिम्पति,*leyp-,Proto-Indo-European,4500 BCE - 2500 BCE
रोचस्,*ráwčas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
गृभ्णाति,*gr̥bʰnáHti,Proto-Indo-Aryan,2000 BCE - 1500 BCE
गृभ्णाति,*gʰr̥bʰnáHti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
गृभ्णाति,*gʰrebʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
वस्,*wos,Proto-Indo-European,4500 BCE - 2500 BCE
मिश्र,*miśrás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
मिश्र,*mićrás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
वितस्ति,*wítastiṣ,Proto-Indo-Aryan,2000 BCE - 1500 BCE
वितस्ति,*wítastiš,Proto-Indo-Iranian,2200 BCE - 1800 BCE
क्वथते,*kwátʰatay,Proto-Indo-Aryan,2000 BCE - 1500 BCE
क्वथते,*kwátʰatay,Proto-Indo-Iranian,2200 BCE - 1800 BCE
क्वथते,*kwh₂et-,Proto-Indo-European,4500 BCE - 2500 BCE
शरणागत,शरण,Sanskrit,1500 BCE - present (liturgical/classical)
शरणागत,गत,Sanskrit,1500 BCE - present (liturgical/classical)
शूर,*ćuHrás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
